Name,Email,Admission No,Class,Status
"Student10 Demo","student10@greenwood.edu","ADM2026010","Unassigned","ACTIVE"
"Student1 Demo","student1@greenwood.edu","ADM202601","Unassigned","ACTIVE"
"Alice Smith","student@greenwood.edu","","Grade 10 - Physics A","ACTIVE"
"Student14 Demo","student14@greenwood.edu","ADM2026014","Unassigned","ACTIVE"
"Student6 Demo","student6@greenwood.edu","ADM202606","Unassigned","ACTIVE"
"Student2 Demo","student2@greenwood.edu","ADM202602","Unassigned","ACTIVE"
"Student5 Demo","student5@greenwood.edu","ADM202605","Unassigned","ACTIVE"
"Student13 Demo","student13@greenwood.edu","ADM2026013","Unassigned","ACTIVE"
"Student8 Demo","student8@greenwood.edu","ADM202608","Unassigned","ACTIVE"
"Student15 Demo","student15@greenwood.edu","ADM2026015","Unassigned","ACTIVE"
"Student9 Demo","student9@greenwood.edu","ADM202609","Unassigned","ACTIVE"
"aman Naeem","student_1782115539610@school.edu","ADM-16217","Unassigned","ACTIVE"
"Student12 Demo","student12@greenwood.edu","ADM2026012","Unassigned","ACTIVE"
"aman Naeem","aman@falconinfo.net","5446466","Unassigned","ACTIVE"
"aman Naeem","student_1782115566423@school.edu","ADM-36070","Unassigned","ACTIVE"
"Student3 Demo","student3@greenwood.edu","ADM202603","Unassigned","ACTIVE"
"John Audit","student@audit-b3dfffb9.com","ADM-9C800A","Audit Grade 10","ACTIVE"
"Bob Jones","student@oakridge.edu","","Unassigned","ACTIVE"
"Student7 Demo","student7@greenwood.edu","ADM202607","Unassigned","ACTIVE"
"Student11 Demo","student11@greenwood.edu","ADM2026011","Unassigned","ACTIVE"
"Student4 Demo","student4@greenwood.edu","ADM202604","Unassigned","ACTIVE"
